# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,BORGeom,0,OUXXXGHFZS,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,33,37
# x,y,z,u,w
1.012030533946878252e-01, 1.391911068717999189e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.226385733901931285e+00
1.552858581325798626e-01, 1.449688963081084969e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.333183085806376678e+00
2.231885422780410244e-01, 1.487615962746048626e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.466713227582285839e+00
3.044714685056292836e-01, 1.500099915888721547e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.626320927179186082e+00
3.965608026664256824e-01, 1.484427168721557388e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.807149790386845201e+00
4.946999091699302298e-01, 1.442892746712830798e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.000000000000000000e+00
5.927426257534733622e-01, 1.382637553561048560e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.192850209613155243e+00
6.845849927517757560e-01, 1.313113406279882434e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.373679072820814362e+00
7.655795479079012811e-01, 1.243124893845360263e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.533286772417714161e+00
8.332906939720585715e-01, 1.179035606744935905e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.666816914193622878e+00
8.874117545816664343e-01, 1.124269596856258963e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.773614266098068715e+00
9.291386855235235220e-01, 1.079892323261624210e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.855997787961553236e+00
9.604242612381876931e-01, 1.045340284704513456e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.917793523727388205e+00
9.833940539417425075e-01, 1.019250863482896868e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.963179575933088561e+00
1.000000000000000000e+00, 1.000000000000000056e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.000000000000000000e+00
1.000000000000000000e+00, 9.796683896764918353e-02, -2.014287277354415845e-02, 1.250000000000000000e-01, 0.000000000000000000e+00
9.833940539417401761e-01, 9.608089272483233412e-02, -1.975510507962736223e-02, 1.250000000000000000e-01, 3.682042406691152236e-02
9.604242612381848065e-01, 9.352499459725521769e-02, -1.922958918722497343e-02, 1.250000000000000000e-01, 8.220647627261153112e-02
9.291386855235221898e-01, 9.014004059992666851e-02, -1.853361187050248104e-02, 1.250000000000000000e-01, 1.440022120384465143e-01
8.874117545816672115e-01, 8.579253938385750233e-02, -1.763972609444893619e-02, 1.250000000000000000e-01, 2.263857339019312576e-01
8.332906939720593487e-01, 8.042728651219269165e-02, -1.653658132494663369e-02, 1.250000000000000000e-01, 3.331830858063768441e-01
7.655795479079018362e-01, 7.414866164327403586e-02, -1.524563896873565305e-02, 1.250000000000000000e-01, 4.667132275822860055e-01
6.845849927517762001e-01, 6.729210831601584175e-02, -1.383586926715744958e-02, 1.250000000000000000e-01, 6.263209271791859711e-01
5.927426257534735843e-01, 6.048104737495872685e-02, -1.243545321378377276e-02, 1.250000000000000000e-01, 8.071497903868449786e-01
4.946999091699305628e-01, 5.457803657049346141e-02, -1.122174052418209445e-02, 1.250000000000000000e-01, 1.000000000000000000e+00
3.965608026664257935e-01, 5.050904053795015475e-02, -1.038511794593761917e-02, 1.250000000000000000e-01, 1.192850209613155021e+00
3.044714685056293391e-01, 4.897363104004390233e-02, -1.006942379373750897e-02, 1.250000000000000000e-01, 1.373679072820814140e+00
2.231885422780415795e-01, 5.019664446725180529e-02, -1.032088647360124983e-02, 1.250000000000000000e-01, 1.533286772417713939e+00
1.552858581325804177e-01, 5.391223273595532189e-02, -1.108484520253485636e-02, 1.250000000000000000e-01, 1.666816914193623100e+00
1.012030533946881306e-01, 5.957255040891362707e-02, -1.224865797781377399e-02, 1.250000000000000000e-01, 1.773614266098068715e+00
5.987674982689820957e-02, 6.664468190178260421e-02, -1.370275251020626472e-02, 1.250000000000000000e-01, 1.855997787961553458e+00
2.956901472978366169e-02, 7.489421049176478440e-02, -1.539893059026659419e-02, 1.250000000000000000e-01, 1.917793523727388427e+00
8.858784846062773416e-03, 8.479938250742456718e-02, -1.743552401120355283e-02, 1.250000000000000000e-01, 1.963179575933088561e+00
0.000000000000000000e+00, 9.796683896764918353e-02, -2.014287277354415845e-02, 1.250000000000000000e-01, 2.000000000000000000e+00
8.858784846062735252e-03, 1.111342954278737444e-01, -2.285022153588475713e-02, 1.250000000000000000e-01, 2.036820424066911439e+00
2.956901472978383169e-02, 1.210394674435336104e-01, -2.488681495682173311e-02, 1.250000000000000000e-01, 2.082206476272611795e+00
5.987674982689773773e-02, 1.292889960335156241e-01, -2.658299303688202442e-02, 1.250000000000000000e-01, 2.144002212038446320e+00
1.012030533946878252e-01, 1.363611275263846845e-01, -2.803708756927453596e-02, 1.250000000000000000e-01, 2.226385733901931285e+00
1.552858581325798626e-01, 1.420214451993429272e-01, -2.920090034455344319e-02, 1.250000000000000000e-01, 2.333183085806376678e+00
2.231885422780410244e-01, 1.457370334680465063e-01, -2.996485907348704972e-02, 1.250000000000000000e-01, 2.466713227582285839e+00
3.044714685056292836e-01, 1.469600468952544370e-01, -3.021632175335080966e-02, 1.250000000000000000e-01, 2.626320927179186082e+00
